,precision,recall,f1-score,support
Apple___Apple_scab,0.9107142857142857,0.68,0.7786259541984732,150.0
Apple___Black_rot,0.9281767955801105,0.9491525423728814,0.9385474860335196,177.0
Apple___Cedar_apple_rust,0.9423076923076923,0.91875,0.930379746835443,160.0
Apple___healthy,0.8769230769230769,0.9011857707509882,0.8888888888888888,253.0
Background_without_leaves,0.9536082474226805,0.9840425531914894,0.9685863874345549,188.0
Blueberry___healthy,0.85546875,0.9954545454545455,0.9201680672268907,220.0
Cherry___Powdery_mildew,0.9212121212121213,0.9620253164556962,0.9411764705882353,158.0
Cherry___healthy,0.9641025641025641,0.9690721649484536,0.9665809768637532,194.0
Corn___Cercospora_leaf_spot Gray_leaf_spot,0.7906976744186046,0.8343558282208589,0.8119402985074626,163.0
Corn___Common_rust,0.9746192893401016,0.9746192893401016,0.9746192893401016,197.0
Corn___Northern_Leaf_Blight,0.8357142857142857,0.7452229299363057,0.7878787878787878,157.0
Corn___healthy,0.9591836734693877,1.0,0.9791666666666666,188.0
Grape___Black_rot,0.920863309352518,0.7441860465116279,0.8231511254019293,172.0
Grape___Esca_(Black_Measles),0.8421052631578947,0.9454545454545454,0.8907922912205567,220.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9382716049382716,0.9382716049382716,0.9382716049382716,162.0
Grape___healthy,0.9120879120879121,0.9764705882352941,0.9431818181818182,170.0
Orange___Haunglongbing_(Citrus_greening),0.9856512141280354,0.9933259176863182,0.9894736842105263,899.0
Peach___Bacterial_spot,0.9701492537313433,0.8831521739130435,0.9246088193456614,368.0
Peach___healthy,0.9289940828402367,0.9573170731707317,0.9429429429429429,164.0
"Pepper,_bell___Bacterial_spot",0.9302325581395349,0.759493670886076,0.8362369337979094,158.0
"Pepper,_bell___healthy",0.9144981412639405,0.9111111111111111,0.9128014842300557,270.0
Potato___Early_blight,0.8203592814371258,0.9647887323943662,0.8867313915857605,142.0
Potato___Late_blight,0.88,0.825,0.8516129032258064,160.0
Potato___healthy,0.9044585987261147,0.9594594594594594,0.9311475409836065,148.0
Raspberry___healthy,0.9861111111111112,0.8765432098765432,0.9281045751633987,162.0
Soybean___healthy,0.9698725376593279,0.9732558139534884,0.971561230412072,860.0
Squash___Powdery_mildew,0.9379310344827586,0.9784172661870504,0.9577464788732394,278.0
Strawberry___Leaf_scorch,0.9247311827956989,0.9555555555555556,0.9398907103825137,180.0
Strawberry___healthy,0.8982035928143712,0.9493670886075949,0.9230769230769231,158.0
Tomato___Bacterial_spot,0.797752808988764,0.8711656441717791,0.8328445747800587,326.0
Tomato___Early_blight,0.875,0.15053763440860216,0.25688073394495414,186.0
Tomato___Late_blight,0.7103825136612022,0.8414239482200647,0.7703703703703704,309.0
Tomato___Leaf_Mold,0.8153846153846154,0.7210884353741497,0.7653429602888087,147.0
Tomato___Septoria_leaf_spot,0.7142857142857143,0.7643312101910829,0.7384615384615385,314.0
Tomato___Spider_mites Two-spotted_spider_mite,0.7931034482758621,0.8161290322580645,0.8044515103338633,310.0
Tomato___Target_Spot,0.7551020408163265,0.6788990825688074,0.714975845410628,218.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9397201291711518,0.9732441471571907,0.9561883899233297,897.0
Tomato___Tomato_mosaic_virus,0.8313253012048193,0.8734177215189873,0.8518518518518519,158.0
Tomato___healthy,0.8697183098591549,0.9536679536679536,0.9097605893186004,259.0
accuracy,0.8978,0.8978,0.8978,0.8978
macro avg,0.8892057440133004,0.8756142463627972,0.8738210216184558,10000.0
weighted avg,0.8996666174243197,0.8978,0.8924500963422998,10000.0
